City ID,City,Country,City Date,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed
964432,port alfred,ZA,1593387520,-33.59,26.89,59.0,65,8,5.99
1015776,bredasdorp,ZA,1593387244,-34.53,20.04,55.4,82,8,10.29
1712961,gigmoto,PH,1593387520,13.78,124.39,82.58,76,95,8.79
3386177,trairi,BR,1593387413,-3.28,-39.27,78.84,80,13,9.91
149418,tumbi,TZ,1593387520,-5.07,32.73,69.98,49,84,9.35
2137773,vao,NC,1593387520,-22.67,167.48,69.04,57,0,9.06
2192362,christchurch,NZ,1593387469,-43.53,172.63,46.0,93,100,12.75
3351663,benguela,AO,1593387521,-12.58,13.41,66.78,87,28,2.62
2146219,hervey bay,AU,1593387521,-25.3,152.85,63.0,81,6,8.01
3369157,cape town,ZA,1593387402,-33.93,18.42,57.0,82,75,5.82
5847411,kahului,US,1593387296,20.89,-156.47,91.4,43,40,18.34
3924679,vilhena,BR,1593387521,-12.74,-60.15,70.86,64,20,1.79
3424607,tasiilaq,GL,1593387521,65.61,-37.64,42.8,87,100,9.17
2092164,lorengau,PG,1593387521,-2.02,147.27,85.53,71,51,11.03
3372707,ribeira grande,PT,1593387521,38.52,-28.7,67.96,92,24,6.69
57000,hobyo,SO,1593387522,5.35,48.53,78.08,82,30,19.46
1185149,parbatipur,BD,1593387522,25.66,88.92,79.5,92,96,7.27
2074865,carnarvon,AU,1593387522,-24.87,113.63,68.0,72,6,6.93
6165406,thompson,CA,1593387522,55.74,-97.86,57.2,87,90,11.41
1735902,sibu,MY,1593387262,2.3,111.82,77.0,100,40,3.36
1499779,malinovoye ozero,RU,1593387522,51.68,79.78,61.41,40,0,13.11
6185377,yellowknife,CA,1593387302,62.46,-114.35,69.8,35,20,13.87
2075265,busselton,AU,1593387522,-33.65,115.33,54.0,68,59,27.45
2012956,yerbogachen,RU,1593387522,61.28,108.01,71.2,59,27,5.57
5367788,lompoc,US,1593387272,34.64,-120.46,66.2,63,50,14.99
3445026,vila velha,BR,1593387305,-20.33,-40.29,71.6,83,75,10.29
260895,karpathos,GR,1593387523,35.51,27.21,73.4,83,1,24.16
49747,xuddur,SO,1593387523,4.12,43.89,72.75,81,67,18.12
1735106,georgetown,MY,1593387379,5.41,100.34,84.2,88,20,1.12
2059470,victor harbor,AU,1593387523,-35.57,138.62,39.0,95,0,9.53
3984997,san quintin,MX,1593387523,30.48,-115.95,67.42,70,6,9.46
4021858,guerrero negro,MX,1593387523,27.98,-114.06,72.9,57,4,15.73
935215,saint-philippe,RE,1593387523,-21.36,55.77,68.0,72,40,8.05
1006984,east london,ZA,1593387523,-33.02,27.91,59.56,56,0,17.36
2121385,severo-kurilsk,RU,1593387523,50.68,156.12,52.95,64,100,2.77
3883457,lebu,CL,1593387524,-37.62,-73.65,52.52,90,71,10.85
3374210,sao filipe,CV,1593387524,14.9,-24.5,75.97,74,2,12.97
3366880,hermanus,ZA,1593387524,-34.42,19.23,55.0,84,32,4.0
6089245,norman wells,CA,1593387524,65.28,-126.83,75.2,27,40,2.77
2013279,vostok,RU,1593387524,46.49,135.88,65.43,61,97,1.86
2022572,khatanga,RU,1593387524,71.97,102.5,84.92,29,3,15.82
3361934,saldanha,ZA,1593387524,-33.01,17.94,55.4,87,60,3.36
333772,jimma,ET,1593387524,7.67,36.83,59.88,90,95,2.62
3583446,san miguel,SV,1593387524,13.48,-88.18,93.2,52,20,1.52
3513563,kralendijk,BQ,1593387524,12.15,-68.27,82.4,83,74,19.46
1568574,qui nhon,VN,1593387412,13.77,109.23,82.0,70,100,5.12
3035883,autun,FR,1593387525,46.95,4.3,60.8,82,90,2.24
1272140,dwarka,IN,1593387280,22.24,68.97,86.2,78,26,13.33
2962961,letterkenny,IE,1593387525,54.95,-7.73,55.0,92,100,13.47
5122534,jamestown,US,1593387242,42.1,-79.24,73.99,69,1,10.29
934479,grand gaube,MU,1593387525,-20.01,57.66,70.0,84,31,3.0
371745,kutum,SD,1593387525,14.2,24.67,81.32,31,95,3.85
3932145,pisco,PE,1593387525,-13.7,-76.22,62.6,82,75,13.87
1819729,victoria,HK,1593387286,22.29,114.16,87.01,79,20,4.7
2110227,butaritari,KI,1593387526,3.07,172.79,82.94,72,80,11.92
3456137,nova olimpia,BR,1593387526,-14.8,-57.29,71.85,67,9,2.35
4734350,stephenville,US,1593387526,32.22,-98.2,87.01,55,1,14.99
108410,riyadh,SA,1593387526,24.69,46.72,89.6,19,16,3.36
5546220,saint george,US,1593387316,37.1,-113.58,97.0,14,1,35.57
1106677,bambous virieux,MU,1593387526,-20.34,57.76,71.6,73,40,5.82
1282256,hithadhoo,MV,1593387526,-0.6,73.08,84.4,72,16,8.01
219414,basoko,CD,1593387526,1.24,23.62,72.52,89,96,1.23
2123278,milkovo,RU,1593387526,54.72,158.62,70.2,46,0,3.58
2274895,monrovia,LR,1593387526,6.3,-10.8,78.8,88,75,11.88
5962442,goderich,CA,1593387372,43.75,-81.72,69.01,78,0,7.43
4031574,provideniya,RU,1593387527,64.38,-173.3,41.0,80,90,15.66
3870282,talcahuano,CL,1593387527,-36.72,-73.12,53.6,87,90,10.29
1214488,meulaboh,ID,1593387527,4.14,96.13,77.14,86,81,4.83
218680,boende,CD,1593387527,-0.22,20.87,72.03,95,100,0.72
5855927,hilo,US,1593387527,19.73,-155.09,84.2,58,90,12.75
1489853,tazovskiy,RU,1593387527,67.47,78.7,59.36,90,95,18.32
3804949,guasdualito,VE,1593387527,7.24,-70.73,75.2,100,75,4.7
2017155,saskylakh,RU,1593387527,71.92,114.08,83.1,34,0,5.93
1507390,dikson,RU,1593387528,73.51,80.55,42.67,100,100,21.12
3416888,grindavik,IS,1593387528,63.84,-22.43,53.6,93,90,10.29
4408000,sedalia,US,1593387528,38.7,-93.23,88.0,58,20,11.41
3372760,praia da vitoria,PT,1593387528,38.73,-27.07,68.0,94,75,8.37
2263905,ribeira brava,PT,1593387528,32.65,-17.07,71.6,73,40,13.87
2173911,broken hill,AU,1593387528,-31.95,141.43,39.2,80,0,9.4
1784853,zhaoqing,CN,1593387528,23.05,112.46,84.99,99,95,1.92
2033536,yakeshi,CN,1593387528,49.28,120.73,68.31,62,43,10.49
2169535,dalby,AU,1593387278,-27.18,151.27,62.01,59,0,1.01
363885,waw,SS,1593387528,7.7,28.0,72.45,82,21,2.39
